tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=287 subject=M08 event=survival_changed result=health:100->100,satiety:64->63,energy:24->23
tick=287 subject=M09 event=survival_changed result=health:100->100,satiety:64->63,energy:24->23
tick=287 subject=M10 event=survival_changed result=health:100->100,satiety:89->88,energy:29->28
tick=287 subject=M11 event=survival_changed result=health:100->100,satiety:74->73,energy:24->23
tick=287 subject=M12 event=survival_changed result=health:100->100,satiety:54->53,energy:24->23
tick=288 subject=M01 event=survival_changed result=health:100->100,satiety:83->82,energy:23->22
tick=288 subject=M02 event=survival_changed result=health:100->100,satiety:68->67,energy:38->37
tick=288 subject=M03 event=survival_changed result=health:100->100,satiety:68->67,energy:38->37
tick=288 subject=M04 event=survival_changed result=health:100->100,satiety:68->67,energy:38->37
tick=288 subject=M05 event=survival_changed result=health:100->100,satiety:58->57,energy:38->37
tick=288 subject=M06 event=survival_changed result=health:100->100,satiety:73->72,energy:23->22
tick=288 subject=M07 event=survival_changed result=health:100->100,satiety:53->52,energy:33->32
tick=288 subject=M08 event=survival_changed result=health:100->100,satiety:63->62,energy:23->22
tick=288 subject=M09 event=survival_changed result=health:100->100,satiety:63->62,energy:23->22
tick=288 subject=M10 event=survival_changed result=health:100->100,satiety:88->87,energy:28->27
tick=288 subject=M11 event=survival_changed result=health:100->100,satiety:73->72,energy:23->22
tick=288 subject=M12 event=survival_changed result=health:100->100,satiety:53->52,energy:23->22
tick=289 subject=M01 event=survival_changed result=health:100->100,satiety:82->81,energy:22->21
tick=289 subject=M02 event=survival_changed result=health:100->100,satiety:67->66,energy:37->36
tick=289 subject=M03 event=survival_changed result=health:100->100,satiety:67->66,energy:37->36
tick=289 subject=M04 event=survival_changed result=health:100->100,satiety:67->66,energy:37->36
tick=289 subject=M05 event=survival_changed result=health:100->100,satiety:57->56,energy:37->36
tick=289 subject=M06 event=survival_changed result=health:100->100,satiety:72->71,energy:22->21
tick=289 subject=M07 event=survival_changed result=health:100->100,satiety:52->51,energy:32->31
tick=289 subject=M08 event=survival_changed result=health:100->100,satiety:62->61,energy:22->21
tick=289 subject=M09 event=food_consumed result=food:F0183,class:medium,satiety:62->92,energy:22->32
tick=289 subject=M09 event=survival_changed result=health:100->100,satiety:92->91,energy:32->31
tick=289 subject=M10 event=survival_changed result=health:100->100,satiety:87->86,energy:27->26
tick=289 subject=M11 event=survival_changed result=health:100->100,satiety:72->71,energy:22->21
tick=289 subject=M12 event=survival_changed result=health:100->100,satiety:52->51,energy:22->21
tick=290 subject=M01 event=survival_changed result=health:100->100,satiety:81->80,energy:21->20
tick=290 subject=M02 event=survival_changed result=health:100->100,satiety:66->65,energy:36->35
tick=290 subject=M03 event=survival_changed result=health:100->100,satiety:66->65,energy:36->35
tick=290 subject=M04 event=survival_changed result=health:100->100,satiety:66->65,energy:36->35
tick=290 subject=M05 event=survival_changed result=health:100->100,satiety:56->55,energy:36->35
tick=290 subject=M06 event=survival_changed result=health:100->100,satiety:71->70,energy:21->20
tick=290 subject=M07 event=survival_changed result=health:100->100,satiety:51->50,energy:31->30
tick=290 subject=M08 event=survival_changed result=health:100->100,satiety:61->60,energy:21->20
tick=290 subject=M09 event=survival_changed result=health:100->100,satiety:91->90,energy:31->30
tick=290 subject=M10 event=survival_changed result=health:100->100,satiety:86->85,energy:26->25
tick=290 subject=M11 event=survival_changed result=health:100->100,satiety:71->70,energy:21->20
tick=290 subject=M12 event=survival_changed result=health:100->100,satiety:51->50,energy:21->20
tick=290 subject=A event=food_regenerated result=food:F0228,class:high,position:82:45
tick=290 subject=B event=food_regenerated result=food:F0229,class:low,position:15:123
tick=290 subject=B event=food_regenerated result=food:F0230,class:high,position:25:123
tick=291 subject=M01 event=survival_changed result=health:100->100,satiety:80->79,energy:20->19
tick=291 subject=M02 event=survival_changed result=health:100->100,satiety:65->64,energy:35->34
tick=291 subject=M03 event=food_consumed result=food:F0226,class:medium,satiety:65->95,energy:35->45
tick=291 subject=M03 event=survival_changed result=health:100->100,satiety:95->94,energy:45->44
tick=291 subject=M04 event=survival_changed result=health:100->100,satiety:65->64,energy:35->34
tick=291 subject=M05 event=survival_changed result=health:100->100,satiety:55->54,energy:35->34
tick=291 subject=M06 event=survival_changed result=health:100->100,satiety:70->69,energy:20->19
tick=291 subject=M07 event=survival_changed result=health:100->100,satiety:50->49,energy:30->29
tick=291 subject=M08 event=survival_changed result=health:100->100,satiety:60->59,energy:20->19
tick=291 subject=M09 event=survival_changed result=health:100->100,satiety:90->89,energy:30->29
tick=291 subject=M10 event=survival_changed result=health:100->100,satiety:85->84,energy:25->24
tick=291 subject=M11 event=survival_changed result=health:100->100,satiety:70->69,energy:20->19
tick=291 subject=M12 event=survival_changed result=health:100->100,satiety:50->49,energy:20->19
tick=292 subject=M01 event=survival_changed result=health:100->100,satiety:79->78,energy:39->38
tick=292 subject=M02 event=survival_changed result=health:100->100,satiety:64->63,energy:34->33
tick=292 subject=M03 event=survival_changed result=health:100->100,satiety:94->93,energy:44->43
tick=292 subject=M04 event=survival_changed result=health:100->100,satiety:64->63,energy:34->33
tick=292 subject=M05 event=survival_changed result=health:100->100,satiety:54->53,energy:34->33
tick=292 subject=M06 event=survival_changed result=health:100->100,satiety:69->68,energy:39->38
tick=292 subject=M07 event=survival_changed result=health:100->100,satiety:49->48,energy:29->28
tick=292 subject=M08 event=survival_changed result=health:100->100,satiety:59->58,energy:39->38
tick=292 subject=M09 event=survival_changed result=health:100->100,satiety:89->88,energy:29->28
tick=292 subject=M10 event=survival_changed result=health:100->100,satiety:84->83,energy:24->23
tick=292 subject=M11 event=survival_changed result=health:100->100,satiety:69->68,energy:39->38
tick=292 subject=M12 event=survival_changed result=health:100->100,satiety:49->48,energy:39->38
tick=293 subject=M01 event=survival_changed result=health:100->100,satiety:78->77,energy:38->37
tick=293 subject=M02 event=survival_changed result=health:100->100,satiety:63->62,energy:33->32
tick=293 subject=M03 event=survival_changed result=health:100->100,satiety:93->92,energy:43->42
tick=293 subject=M04 event=survival_changed result=health:100->100,satiety:63->62,energy:33->32
tick=293 subject=M05 event=survival_changed result=health:100->100,satiety:53->52,energy:33->32
tick=293 subject=M06 event=survival_changed result=health:100->100,satiety:68->67,energy:38->37
tick=293 subject=M07 event=survival_changed result=health:100->100,satiety:48->47,energy:28->27
tick=293 subject=M08 event=survival_changed result=health:100->100,satiety:58->57,energy:38->37
tick=293 subject=M09 event=survival_changed result=health:100->100,satiety:88->87,energy:28->27
tick=293 subject=M10 event=survival_changed result=health:100->100,satiety:83->82,energy:23->22
tick=293 subject=M11 event=survival_changed result=health:100->100,satiety:68->67,energy:38->37
tick=293 subject=M12 event=survival_changed result=health:100->100,satiety:48->47,energy:38->37
tick=294 subject=M01 event=survival_changed result=health:100->100,satiety:77->76,energy:37->36
tick=294 subject=M02 event=survival_changed result=health:100->100,satiety:62->61,energy:32->31
tick=294 subject=M03 event=survival_changed result=health:100->100,satiety:92->91,energy:42->41
tick=294 subject=M04 event=survival_changed result=health:100->100,satiety:62->61,energy:32->31
tick=294 subject=M05 event=survival_changed result=health:100->100,satiety:52->51,energy:32->31
tick=294 subject=M06 event=survival_changed result=health:100->100,satiety:67->66,energy:37->36
tick=294 subject=M07 event=survival_changed result=health:100->100,satiety:47->46,energy:27->26
tick=294 subject=M08 event=survival_changed result=health:100->100,satiety:57->56,energy:37->36
tick=294 subject=M09 event=survival_changed result=health:100->100,satiety:87->86,energy:27->26
tick=294 subject=M10 event=survival_changed result=health:100->100,satiety:82->81,energy:22->21
tick=294 subject=M11 event=survival_changed result=health:100->100,satiety:67->66,energy:37->36
tick=294 subject=M12 event=survival_changed result=health:100->100,satiety:47->46,energy:37->36
tick=295 subject=M01 event=survival_changed result=health:100->100,satiety:76->75,energy:36->35
tick=295 subject=M02 event=survival_changed result=health:100->100,satiety:61->60,energy:31->30
tick=295 subject=M03 event=survival_changed result=health:100->100,satiety:91->90,energy:41->40
tick=295 subject=M04 event=survival_changed result=health:100->100,satiety:61->60,energy:31->30
tick=295 subject=M05 event=survival_changed result=health:100->100,satiety:51->50,energy:31->30
tick=295 subject=M06 event=survival_changed result=health:100->100,satiety:66->65,energy:36->35
tick=295 subject=M07 event=survival_changed result=health:100->100,satiety:46->45,energy:26->25
tick=295 subject=M08 event=survival_changed result=health:100->100,satiety:56->55,energy:36->35
tick=295 subject=M09 event=survival_changed result=health:100->100,satiety:86->85,energy:26->25
tick=295 subject=M10 event=survival_changed result=health:100->100,satiety:81->80,energy:21->20
tick=295 subject=M11 event=territory_crossed result=from:B,to:A
tick=295 subject=M11 event=survival_changed result=health:100->100,satiety:66->65,energy:36->35
tick=295 subject=M12 event=survival_changed result=health:100->100,satiety:46->45,energy:36->35
tick=296 subject=M01 event=food_consumed result=food:F0225,class:low,satiety:75->90,energy:35->40
tick=296 subject=M01 event=survival_changed result=health:100->100,satiety:90->89,energy:40->39
tick=296 subject=M02 event=survival_changed result=health:100->100,satiety:60->59,energy:30->29
tick=296 subject=M03 event=survival_changed result=health:100->100,satiety:90->89,energy:40->39
tick=296 subject=M04 event=survival_changed result=health:100->100,satiety:60->59,energy:30->29
tick=296 subject=M05 event=survival_changed result=health:100->100,satiety:50->49,energy:30->29
tick=296 subject=M06 event=survival_changed result=health:100->100,satiety:65->64,energy:35->34
tick=296 subject=M07 event=survival_changed result=health:100->100,satiety:45->44,energy:25->24
tick=296 subject=M08 event=survival_changed result=health:100->100,satiety:55->54,energy:35->34
tick=296 subject=M09 event=survival_changed result=health:100->100,satiety:85->84,energy:25->24
tick=296 subject=M10 event=survival_changed result=health:100->100,satiety:80->79,energy:20->19
tick=296 subject=M11 event=survival_changed result=health:100->100,satiety:65->64,energy:35->34
tick=296 subject=M12 event=survival_changed result=health:100->100,satiety:45->44,energy:35->34
tick=297 subject=M01 event=survival_changed result=health:100->100,satiety:89->88,energy:39->38
tick=297 subject=M02 event=survival_changed result=health:100->100,satiety:59->58,energy:29->28
tick=297 subject=M03 event=survival_changed result=health:100->100,satiety:89->88,energy:39->38
tick=297 subject=M04 event=territory_crossed result=from:B,to:A
tick=297 subject=M04 event=survival_changed result=health:100->100,satiety:59->58,energy:29->28
tick=297 subject=M05 event=survival_changed result=health:100->100,satiety:49->48,energy:29->28
tick=297 subject=M06 event=survival_changed result=health:100->100,satiety:64->63,energy:34->33
tick=297 subject=M07 event=survival_changed result=health:100->100,satiety:44->43,energy:24->23
tick=297 subject=M08 event=survival_changed result=health:100->100,satiety:54->53,energy:34->33
tick=297 subject=M09 event=survival_changed result=health:100->100,satiety:84->83,energy:24->23
tick=297 subject=M10 event=survival_changed result=health:100->100,satiety:79->78,energy:39->38
tick=297 subject=M11 event=food_consumed result=food:F0053,class:medium,satiety:64->94,energy:34->44
tick=297 subject=M11 event=survival_changed result=health:100->100,satiety:94->93,energy:44->43
tick=297 subject=M12 event=survival_changed result=health:100->100,satiety:44->43,energy:34->33
tick=298 subject=M01 event=survival_changed result=health:100->100,satiety:88->87,energy:38->37
tick=298 subject=M02 event=survival_changed result=health:100->100,satiety:58->57,energy:28->27
tick=298 subject=M03 event=survival_changed result=health:100->100,satiety:88->87,energy:38->37
tick=298 subject=M04 event=survival_changed result=health:100->100,satiety:58->57,energy:28->27
tick=298 subject=M05 event=food_consumed result=food:F0015,class:high,satiety:48->98,energy:28->48
tick=298 subject=M05 event=survival_changed result=health:100->100,satiety:98->97,energy:48->47
tick=298 subject=M06 event=survival_changed result=health:100->100,satiety:63->62,energy:33->32
tick=298 subject=M07 event=survival_changed result=health:100->100,satiety:43->42,energy:23->22
tick=298 subject=M08 event=survival_changed result=health:100->100,satiety:53->52,energy:33->32
tick=298 subject=M09 event=survival_changed result=health:100->100,satiety:83->82,energy:23->22
tick=298 subject=M10 event=survival_changed result=health:100->100,satiety:78->77,energy:38->37
tick=298 subject=M11 event=survival_changed result=health:100->100,satiety:93->92,energy:43->42
tick=298 subject=M12 event=survival_changed result=health:100->100,satiety:43->42,energy:33->32
tick=299 subject=M01 event=survival_changed result=health:100->100,satiety:87->86,energy:37->36
tick=299 subject=M02 event=survival_changed result=health:100->100,satiety:57->56,energy:27->26
tick=299 subject=M03 event=survival_changed result=health:100->100,satiety:87->86,energy:37->36
tick=299 subject=M04 event=survival_changed result=health:100->100,satiety:57->56,energy:27->26
tick=299 subject=M05 event=survival_changed result=health:100->100,satiety:97->96,energy:47->46
tick=299 subject=M06 event=survival_changed result=health:100->100,satiety:62->61,energy:32->31
tick=299 subject=M07 event=food_consumed result=food:F0229,class:low,satiety:42->57,energy:22->27
tick=299 subject=M07 event=survival_changed result=health:100->100,satiety:57->56,energy:27->26
tick=299 subject=M08 event=survival_changed result=health:100->100,satiety:52->51,energy:32->31
tick=299 subject=M09 event=survival_changed result=health:100->100,satiety:82->81,energy:22->21
tick=299 subject=M10 event=survival_changed result=health:100->100,satiety:77->76,energy:37->36
tick=299 subject=M11 event=survival_changed result=health:100->100,satiety:92->91,energy:42->41
tick=299 subject=M12 event=survival_changed result=health:100->100,satiety:42->41,energy:32->31
tick=300 subject=M01 event=survival_changed result=health:100->100,satiety:86->85,energy:36->35
tick=300 subject=M02 event=survival_changed result=health:100->100,satiety:56->55,energy:26->25
tick=300 subject=M03 event=survival_changed result=health:100->100,satiety:86->85,energy:36->35
tick=300 subject=M04 event=food_consumed result=food:F0169,class:medium,satiety:56->86,energy:26->36
tick=300 subject=M04 event=survival_changed result=health:100->100,satiety:86->85,energy:36->35
tick=300 subject=M05 event=survival_changed result=health:100->100,satiety:96->95,energy:46->45
tick=300 subject=M06 event=survival_changed result=health:100->100,satiety:61->60,energy:31->30
tick=300 subject=M07 event=survival_changed result=health:100->100,satiety:56->55,energy:26->25
tick=300 subject=M08 event=survival_changed result=health:100->100,satiety:51->50,energy:31->30
tick=300 subject=M09 event=survival_changed result=health:100->100,satiety:81->80,energy:21->20
tick=300 subject=M10 event=survival_changed result=health:100->100,satiety:76->75,energy:36->35
tick=300 subject=M11 event=survival_changed result=health:100->100,satiety:91->90,energy:41->40
tick=300 subject=M12 event=food_consumed result=food:F0223,class:high,satiety:41->91,energy:31->51
tick=300 subject=M12 event=survival_changed result=health:100->100,satiety:91->90,energy:51->50
tick=300 subject=A event=food_regenerated result=food:F0231,class:medium,position:74:8
tick=300 subject=A event=food_regenerated result=food:F0232,class:medium,position:106:20
tick=300 subject=B event=food_regenerated result=food:F0233,class:medium,position:47:108
tick=300 subject=B event=food_regenerated result=food:F0234,class:low,position:126:86
tick=301 subject=M01 event=survival_changed result=health:100->100,satiety:85->84,energy:35->34
tick=301 subject=M02 event=survival_changed result=health:100->100,satiety:55->54,energy:25->24
tick=301 subject=M03 event=survival_changed result=health:100->100,satiety:85->84,energy:35->34
tick=301 subject=M04 event=survival_changed result=health:100->100,satiety:85->84,energy:35->34
tick=301 subject=M05 event=survival_changed result=health:100->100,satiety:95->94,energy:45->44
tick=301 subject=M06 event=survival_changed result=health:100->100,satiety:60->59,energy:30->29
tick=301 subject=M07 event=survival_changed result=health:100->100,satiety:55->54,energy:25->24
tick=301 subject=M08 event=survival_changed result=health:100->100,satiety:50->49,energy:30->29
tick=301 subject=M09 event=survival_changed result=health:100->100,satiety:80->79,energy:20->19
tick=301 subject=M10 event=survival_changed result=health:100->100,satiety:75->74,energy:35->34
tick=301 subject=M11 event=survival_changed result=health:100->100,satiety:90->89,energy:40->39
tick=301 subject=M12 event=survival_changed result=health:100->100,satiety:90->89,energy:50->49
tick=302 subject=M01 event=survival_changed result=health:100->100,satiety:84->83,energy:34->33
tick=302 subject=M02 event=survival_changed result=health:100->100,satiety:54->53,energy:24->23
tick=302 subject=M03 event=survival_changed result=health:100->100,satiety:84->83,energy:34->33
tick=302 subject=M04 event=survival_changed result=health:100->100,satiety:84->83,energy:34->33
tick=302 subject=M05 event=survival_changed result=health:100->100,satiety:94->93,energy:44->43
tick=302 subject=M06 event=survival_changed result=health:100->100,satiety:59->58,energy:29->28
tick=302 subject=M07 event=survival_changed result=health:100->100,satiety:54->53,energy:24->23
tick=302 subject=M08 event=food_consumed result=food:F0082,class:high,satiety:49->99,energy:29->49
tick=302 subject=M08 event=survival_changed result=health:100->100,satiety:99->98,energy:49->48
tick=302 subject=M09 event=survival_changed result=health:100->100,satiety:79->78,energy:39->38
tick=302 subject=M10 event=survival_changed result=health:100->100,satiety:74->73,energy:34->33
tick=302 subject=M11 event=survival_changed result=health:100->100,satiety:89->88,energy:39->38
tick=302 subject=M12 event=survival_changed result=health:100->100,satiety:89->88,energy:49->48
tick=303 subject=M01 event=survival_changed result=health:100->100,satiety:83->82,energy:33->32
tick=303 subject=M02 event=survival_changed result=health:100->100,satiety:53->52,energy:23->22
tick=303 subject=M03 event=survival_changed result=health:100->100,satiety:83->82,energy:33->32
tick=303 subject=M04 event=survival_changed result=health:100->100,satiety:83->82,energy:33->32
tick=303 subject=M05 event=survival_changed result=health:100->100,satiety:93->92,energy:43->42
tick=303 subject=M06 event=food_consumed result=food:F0141,class:low,satiety:58->73,energy:28->33
tick=303 subject=M06 event=survival_changed result=health:100->100,satiety:73->72,energy:33->32
tick=303 subject=M07 event=survival_changed result=health:100->100,satiety:53->52,energy:23->22
tick=303 subject=M08 event=survival_changed result=health:100->100,satiety:98->97,energy:48->47
tick=303 subject=M09 event=survival_changed result=health:100->100,satiety:78->77,energy:38->37
tick=303 subject=M10 event=survival_changed result=health:100->100,satiety:73->72,energy:33->32
tick=303 subject=M11 event=survival_changed result=health:100->100,satiety:88->87,energy:38->37
tick=303 subject=M12 event=survival_changed result=health:100->100,satiety:88->87,energy:48->47
tick=304 subject=M01 event=survival_changed result=health:100->100,satiety:82->81,energy:32->31
tick=304 subject=M02 event=survival_changed result=health:100->100,satiety:52->51,energy:22->21
tick=304 subject=M03 event=survival_changed result=health:100->100,satiety:82->81,energy:32->31
tick=304 subject=M04 event=survival_changed result=health:100->100,satiety:82->81,energy:32->31
tick=304 subject=M05 event=survival_changed result=health:100->100,satiety:92->91,energy:42->41
tick=304 subject=M06 event=survival_changed result=health:100->100,satiety:72->71,energy:32->31
tick=304 subject=M07 event=survival_changed result=health:100->100,satiety:52->51,energy:22->21
tick=304 subject=M08 event=survival_changed result=health:100->100,satiety:97->96,energy:47->46
tick=304 subject=M09 event=survival_changed result=health:100->100,satiety:77->76,energy:37->36
tick=304 subject=M10 event=survival_changed result=health:100->100,satiety:72->71,energy:32->31
tick=304 subject=M11 event=survival_changed result=health:100->100,satiety:87->86,energy:37->36
tick=304 subject=M12 event=survival_changed result=health:100->100,satiety:87->86,energy:47->46
tick=305 subject=M01 event=survival_changed result=health:100->100,satiety:81->80,energy:31->30
tick=305 subject=M02 event=survival_changed result=health:100->100,satiety:51->50,energy:21->20
tick=305 subject=M03 event=survival_changed result=health:100->100,satiety:81->80,energy:31->30
tick=305 subject=M04 event=survival_changed result=health:100->100,satiety:81->80,energy:31->30
tick=305 subject=M05 event=survival_changed result=health:100->100,satiety:91->90,energy:41->40
tick=305 subject=M06 event=survival_changed result=health:100->100,satiety:71->70,energy:31->30
tick=305 subject=M07 event=survival_changed result=health:100->100,satiety:51->50,energy:21->20
tick=305 subject=M08 event=survival_changed result=health:100->100,satiety:96->95,energy:46->45
tick=305 subject=M09 event=survival_changed result=health:100->100,satiety:76->75,energy:36->35
tick=305 subject=M10 event=survival_changed result=health:100->100,satiety:71->70,energy:31->30
tick=305 subject=M11 event=survival_changed result=health:100->100,satiety:86->85,energy:36->35
tick=305 subject=M12 event=survival_changed result=health:100->100,satiety:86->85,energy:46->45
tick=306 subject=M01 event=survival_changed result=health:100->100,satiety:80->79,energy:30->29
tick=306 subject=M02 event=survival_changed result=health:100->100,satiety:50->49,energy:20->19
tick=306 subject=M03 event=survival_changed result=health:100->100,satiety:80->79,energy:30->29
tick=306 subject=M04 event=survival_changed result=health:100->100,satiety:80->79,energy:30->29
tick=306 subject=M05 event=survival_changed result=health:100->100,satiety:90->89,energy:40->39
tick=306 subject=M06 event=survival_changed result=health:100->100,satiety:70->69,energy:30->29
tick=306 subject=M07 event=survival_changed result=health:100->100,satiety:50->49,energy:20->19
tick=306 subject=M08 event=survival_changed result=health:100->100,satiety:95->94,energy:45->44
tick=306 subject=M09 event=survival_changed result=health:100->100,satiety:75->74,energy:35->34
tick=306 subject=M10 event=survival_changed result=health:100->100,satiety:70->69,energy:30->29
tick=306 subject=M11 event=survival_changed result=health:100->100,satiety:85->84,energy:35->34
tick=306 subject=M12 event=survival_changed result=health:100->100,satiety:85->84,energy:45->44
tick=307 subject=M01 event=survival_changed result=health:100->100,satiety:79->78,energy:29->28
tick=307 subject=M02 event=survival_changed result=health:100->100,satiety:49->48,energy:39->38
tick=307 subject=M03 event=survival_changed result=health:100->100,satiety:79->78,energy:29->28
tick=307 subject=M04 event=survival_changed result=health:100->100,satiety:79->78,energy:29->28
tick=307 subject=M05 event=survival_changed result=health:100->100,satiety:89->88,energy:39->38
tick=307 subject=M06 event=survival_changed result=health:100->100,satiety:69->68,energy:29->28
tick=307 subject=M07 event=survival_changed result=health:100->100,satiety:49->48,energy:39->38
tick=307 subject=M08 event=survival_changed result=health:100->100,satiety:94->93,energy:44->43
tick=307 subject=M09 event=survival_changed result=health:100->100,satiety:74->73,energy:34->33
tick=307 subject=M10 event=survival_changed result=health:100->100,satiety:69->68,energy:29->28
tick=307 subject=M11 event=survival_changed result=health:100->100,satiety:84->83,energy:34->33
tick=307 subject=M12 event=survival_changed result=health:100->100,satiety:84->83,energy:44->43
tick=308 subject=M01 event=survival_changed result=health:100->100,satiety:78->77,energy:28->27
tick=308 subject=M02 event=survival_changed result=health:100->100,satiety:48->47,energy:38->37
tick=308 subject=M03 event=survival_changed result=health:100->100,satiety:78->77,energy:28->27
tick=308 subject=M04 event=survival_changed result=health:100->100,satiety:78->77,energy:28->27
tick=308 subject=M05 event=survival_changed result=health:100->100,satiety:88->87,energy:38->37
tick=308 subject=M06 event=survival_changed result=health:100->100,satiety:68->67,energy:28->27
tick=308 subject=M07 event=survival_changed result=health:100->100,satiety:48->47,energy:38->37
tick=308 subject=M08 event=survival_changed result=health:100->100,satiety:93->92,energy:43->42
tick=308 subject=M09 event=survival_changed result=health:100->100,satiety:73->72,energy:33->32
tick=308 subject=M10 event=survival_changed result=health:100->100,satiety:68->67,energy:28->27
tick=308 subject=M11 event=survival_changed result=health:100->100,satiety:83->82,energy:33->32
tick=308 subject=M12 event=survival_changed result=health:100->100,satiety:83->82,energy:43->42
tick=309 subject=M01 event=survival_changed result=health:100->100,satiety:77->76,energy:27->26
tick=309 subject=M02 event=survival_changed result=health:100->100,satiety:47->46,energy:37->36
tick=309 subject=M03 event=survival_changed result=health:100->100,satiety:77->76,energy:27->26
tick=309 subject=M04 event=survival_changed result=health:100->100,satiety:77->76,energy:27->26
tick=309 subject=M05 event=survival_changed result=health:100->100,satiety:87->86,energy:37->36
tick=309 subject=M06 event=survival_changed result=health:100->100,satiety:67->66,energy:27->26
tick=309 subject=M07 event=survival_changed result=health:100->100,satiety:47->46,energy:37->36
tick=309 subject=M08 event=survival_changed result=health:100->100,satiety:92->91,energy:42->41
tick=309 subject=M09 event=survival_changed result=health:100->100,satiety:72->71,energy:32->31
tick=309 subject=M10 event=survival_changed result=health:100->100,satiety:67->66,energy:27->26
tick=309 subject=M11 event=survival_changed result=health:100->100,satiety:82->81,energy:32->31
tick=309 subject=M12 event=survival_changed result=health:100->100,satiety:82->81,energy:42->41
tick=310 subject=M01 event=survival_changed result=health:100->100,satiety:76->75,energy:26->25
tick=310 subject=M02 event=survival_changed result=health:100->100,satiety:46->45,energy:36->35
tick=310 subject=M03 event=survival_changed result=health:100->100,satiety:76->75,energy:26->25
tick=310 subject=M04 event=survival_changed result=health:100->100,satiety:76->75,energy:26->25
tick=310 subject=M05 event=survival_changed result=health:100->100,satiety:86->85,energy:36->35
tick=310 subject=M06 event=survival_changed result=health:100->100,satiety:66->65,energy:26->25
tick=310 subject=M07 event=survival_changed result=health:100->100,satiety:46->45,energy:36->35
tick=310 subject=M08 event=survival_changed result=health:100->100,satiety:91->90,energy:41->40
tick=310 subject=M09 event=survival_changed result=health:100->100,satiety:71->70,energy:31->30
tick=310 subject=M10 event=survival_changed result=health:100->100,satiety:66->65,energy:26->25
tick=310 subject=M11 event=survival_changed result=health:100->100,satiety:81->80,energy:31->30
tick=310 subject=M12 event=survival_changed result=health:100->100,satiety:81->80,energy:41->40
tick=310 subject=A event=food_regenerated result=food:F0235,class:low,position:85:7
tick=310 subject=A event=food_regenerated result=food:F0236,class:medium,position:23:38
tick=310 subject=B event=food_regenerated result=food:F0237,class:high,position:114:92
tick=310 subject=B event=food_regenerated result=food:F0238,class:medium,position:109:68
tick=311 subject=M01 event=survival_changed result=health:100->100,satiety:75->74,energy:25->24
tick=311 subject=M02 event=survival_changed result=health:100->100,satiety:45->44,energy:35->34
tick=311 subject=M03 event=food_consumed result=food:F0227,class:low,satiety:75->90,energy:25->30
tick=311 subject=M03 event=survival_changed result=health:100->100,satiety:90->89,energy:30->29
tick=311 subject=M04 event=survival_changed result=health:100->100,satiety:75->74,energy:25->24
tick=311 subject=M05 event=survival_changed result=health:100->100,satiety:85->84,energy:35->34
tick=311 subject=M06 event=survival_changed result=health:100->100,satiety:65->64,energy:25->24
tick=311 subject=M07 event=survival_changed result=health:100->100,satiety:45->44,energy:35->34
tick=311 subject=M08 event=survival_changed result=health:100->100,satiety:90->89,energy:40->39
tick=311 subject=M09 event=survival_changed result=health:100->100,satiety:70->69,energy:30->29
tick=311 subject=M10 event=survival_changed result=health:100->100,satiety:65->64,energy:25->24
tick=311 subject=M11 event=survival_changed result=health:100->100,satiety:80->79,energy:30->29
tick=311 subject=M12 event=survival_changed result=health:100->100,satiety:80->79,energy:40->39
tick=312 subject=M01 event=survival_changed result=health:100->100,satiety:74->73,energy:24->23
tick=312 subject=M02 event=survival_changed result=health:100->100,satiety:44->43,energy:34->33
tick=312 subject=M03 event=survival_changed result=health:100->100,satiety:89->88,energy:29->28
tick=312 subject=M04 event=survival_changed result=health:100->100,satiety:74->73,energy:24->23
tick=312 subject=M05 event=survival_changed result=health:100->100,satiety:84->83,energy:34->33
tick=312 subject=M06 event=survival_changed result=health:100->100,satiety:64->63,energy:24->23
tick=312 subject=M07 event=survival_changed result=health:100->100,satiety:44->43,energy:34->33
tick=312 subject=M08 event=survival_changed result=health:100->100,satiety:89->88,energy:39->38
tick=312 subject=M09 event=survival_changed result=health:100->100,satiety:69->68,energy:29->28
tick=312 subject=M10 event=survival_changed result=health:100->100,satiety:64->63,energy:24->23
tick=312 subject=M11 event=survival_changed result=health:100->100,satiety:79->78,energy:29->28
tick=312 subject=M12 event=survival_changed result=health:100->100,satiety:79->78,energy:39->38
tick=313 subject=M01 event=survival_changed result=health:100->100,satiety:73->72,energy:23->22
tick=313 subject=M02 event=survival_changed result=health:100->100,satiety:43->42,energy:33->32
tick=313 subject=M03 event=survival_changed result=health:100->100,satiety:88->87,energy:28->27
tick=313 subject=M04 event=survival_changed result=health:100->100,satiety:73->72,energy:23->22
tick=313 subject=M05 event=survival_changed result=health:100->100,satiety:83->82,energy:33->32
tick=313 subject=M06 event=survival_changed result=health:100->100,satiety:63->62,energy:23->22
tick=313 subject=M07 event=survival_changed result=health:100->100,satiety:43->42,energy:33->32
tick=313 subject=M08 event=survival_changed result=health:100->100,satiety:88->87,energy:38->37
tick=313 subject=M09 event=survival_changed result=health:100->100,satiety:68->67,energy:28->27
tick=313 subject=M10 event=food_consumed result=food:F0166,class:low,satiety:63->78,energy:23->28
tick=313 subject=M10 event=survival_changed result=health:100->100,satiety:78->77,energy:28->27
tick=313 subject=M11 event=food_consumed result=food:F0196,class:low,satiety:78->93,energy:28->33
