tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0166 event=food_initialized result=class:medium,position:97:103,territory:B
tick=0 subject=F0167 event=food_initialized result=class:high,position:117:115,territory:B
tick=0 subject=F0168 event=food_initialized result=class:low,position:105:85,territory:B
tick=0 subject=F0169 event=food_initialized result=class:medium,position:22:102,territory:B
tick=0 subject=F0170 event=food_initialized result=class:high,position:19:85,territory:B
tick=0 subject=F0171 event=food_initialized result=class:low,position:95:115,territory:B
tick=0 subject=F0172 event=food_initialized result=class:medium,position:53:70,territory:B
tick=0 subject=F0173 event=food_initialized result=class:high,position:19:120,territory:B
tick=0 subject=F0174 event=food_initialized result=class:low,position:24:123,territory:B
tick=0 subject=F0175 event=food_initialized result=class:medium,position:7:78,territory:B
tick=0 subject=F0176 event=food_initialized result=class:high,position:10:84,territory:B
tick=0 subject=F0177 event=food_initialized result=class:low,position:49:81,territory:B
tick=0 subject=F0178 event=food_initialized result=class:medium,position:116:126,territory:B
tick=0 subject=F0179 event=food_initialized result=class:high,position:21:117,territory:B
tick=0 subject=F0180 event=food_initialized result=class:low,position:10:111,territory:B
tick=0 subject=F0181 event=food_initialized result=class:medium,position:44:105,territory:B
tick=0 subject=F0182 event=food_initialized result=class:high,position:23:117,territory:B
tick=0 subject=F0183 event=food_initialized result=class:low,position:74:97,territory:B
tick=0 subject=F0184 event=food_initialized result=class:medium,position:73:88,territory:B
tick=0 subject=F0185 event=food_initialized result=class:high,position:41:114,territory:B
tick=0 subject=F0186 event=food_initialized result=class:low,position:73:98,territory:B
tick=0 subject=F0187 event=food_initialized result=class:medium,position:73:67,territory:B
tick=0 subject=F0188 event=food_initialized result=class:high,position:25:115,territory:B
tick=0 subject=F0189 event=food_initialized result=class:low,position:82:102,territory:B
tick=0 subject=F0190 event=food_initialized result=class:medium,position:72:96,territory:B
tick=0 subject=F0191 event=food_initialized result=class:high,position:9:81,territory:B
tick=0 subject=F0192 event=food_initialized result=class:low,position:28:86,territory:B
tick=0 subject=F0193 event=food_initialized result=class:medium,position:37:82,territory:B
tick=0 subject=F0194 event=food_initialized result=class:high,position:39:69,territory:B
tick=0 subject=F0195 event=food_initialized result=class:low,position:95:76,territory:B
tick=0 subject=F0196 event=food_initialized result=class:medium,position:119:83,territory:B
tick=0 subject=F0197 event=food_initialized result=class:high,position:56:68,territory:B
tick=0 subject=F0198 event=food_initialized result=class:low,position:106:126,territory:B
tick=0 subject=F0199 event=food_initialized result=class:medium,position:28:93,territory:B
tick=0 subject=F0200 event=food_initialized result=class:high,position:89:64,territory:B
tick=0 subject=F0201 event=food_initialized result=class:low,position:32:121,territory:B
tick=0 subject=F0202 event=food_initialized result=class:medium,position:38:115,territory:B
tick=0 subject=F0203 event=food_initialized result=class:high,position:108:95,territory:B
tick=0 subject=F0204 event=food_initialized result=class:low,position:54:116,territory:B
tick=0 subject=F0205 event=food_initialized result=class:medium,position:76:121,territory:B
tick=0 subject=F0206 event=food_initialized result=class:high,position:36:71,territory:B
tick=0 subject=F0207 event=food_initialized result=class:low,position:88:88,territory:B
tick=0 subject=F0208 event=food_initialized result=class:medium,position:45:119,territory:B
tick=0 subject=F0209 event=food_initialized result=class:high,position:79:75,territory:B
tick=0 subject=F0210 event=food_initialized result=class:low,position:18:106,territory:B
tick=0 subject=F0211 event=food_initialized result=class:medium,position:104:125,territory:B
tick=0 subject=F0212 event=food_initialized result=class:high,position:96:74,territory:B
tick=0 subject=F0213 event=food_initialized result=class:low,position:87:94,territory:B
