tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0130 event=food_initialized result=class:medium,position:115:112,territory:B
tick=0 subject=F0131 event=food_initialized result=class:high,position:94:72,territory:B
tick=0 subject=F0132 event=food_initialized result=class:low,position:8:73,territory:B
tick=0 subject=F0133 event=food_initialized result=class:medium,position:103:122,territory:B
tick=0 subject=F0134 event=food_initialized result=class:high,position:117:106,territory:B
tick=0 subject=F0135 event=food_initialized result=class:low,position:89:69,territory:B
tick=0 subject=F0136 event=food_initialized result=class:medium,position:61:69,territory:B
tick=0 subject=F0137 event=food_initialized result=class:high,position:46:112,territory:B
tick=0 subject=F0138 event=food_initialized result=class:low,position:9:85,territory:B
tick=0 subject=F0139 event=food_initialized result=class:medium,position:90:65,territory:B
tick=0 subject=F0140 event=food_initialized result=class:high,position:108:87,territory:B
tick=0 subject=F0141 event=food_initialized result=class:low,position:19:82,territory:B
tick=0 subject=F0142 event=food_initialized result=class:medium,position:96:114,territory:B
tick=0 subject=F0143 event=food_initialized result=class:high,position:126:120,territory:B
tick=0 subject=F0144 event=food_initialized result=class:low,position:92:110,territory:B
tick=0 subject=F0145 event=food_initialized result=class:medium,position:94:76,territory:B
tick=0 subject=F0146 event=food_initialized result=class:high,position:10:124,territory:B
tick=0 subject=F0147 event=food_initialized result=class:low,position:92:67,territory:B
tick=0 subject=F0148 event=food_initialized result=class:medium,position:89:120,territory:B
tick=0 subject=F0149 event=food_initialized result=class:high,position:67:65,territory:B
tick=0 subject=F0150 event=food_initialized result=class:low,position:31:105,territory:B
tick=0 subject=F0151 event=food_initialized result=class:medium,position:40:69,territory:B
tick=0 subject=F0152 event=food_initialized result=class:high,position:116:114,territory:B
tick=0 subject=F0153 event=food_initialized result=class:low,position:17:64,territory:B
tick=0 subject=F0154 event=food_initialized result=class:medium,position:74:103,territory:B
tick=0 subject=F0155 event=food_initialized result=class:high,position:79:122,territory:B
tick=0 subject=F0156 event=food_initialized result=class:low,position:123:109,territory:B
tick=0 subject=F0157 event=food_initialized result=class:medium,position:63:118,territory:B
tick=0 subject=F0158 event=food_initialized result=class:high,position:112:96,territory:B
tick=0 subject=F0159 event=food_initialized result=class:low,position:116:90,territory:B
tick=0 subject=F0160 event=food_initialized result=class:medium,position:99:77,territory:B
tick=0 subject=F0161 event=food_initialized result=class:high,position:111:123,territory:B
tick=0 subject=F0162 event=food_initialized result=class:low,position:103:93,territory:B
tick=0 subject=F0163 event=food_initialized result=class:medium,position:20:86,territory:B
tick=0 subject=F0164 event=food_initialized result=class:high,position:34:106,territory:B
tick=0 subject=F0165 event=food_initialized result=class:low,position:110:64,territory:B
tick=0 subject=F0166 event=food_initialized result=class:medium,position:30:109,territory:B
tick=0 subject=F0167 event=food_initialized result=class:high,position:106:73,territory:B
tick=0 subject=F0168 event=food_initialized result=class:low,position:6:113,territory:B
tick=0 subject=F0169 event=food_initialized result=class:medium,position:18:89,territory:B
tick=0 subject=F0170 event=food_initialized result=class:high,position:4:66,territory:B
tick=0 subject=F0171 event=food_initialized result=class:low,position:104:81,territory:B
tick=0 subject=F0172 event=food_initialized result=class:medium,position:22:127,territory:B
tick=0 subject=F0173 event=food_initialized result=class:high,position:97:79,territory:B
tick=0 subject=F0174 event=food_initialized result=class:low,position:103:114,territory:B
tick=0 subject=F0175 event=food_initialized result=class:medium,position:25:70,territory:B
tick=0 subject=F0176 event=food_initialized result=class:high,position:59:72,territory:B
tick=0 subject=F0177 event=food_initialized result=class:low,position:15:100,territory:B
tick=0 subject=F0178 event=food_initialized result=class:medium,position:97:101,territory:B
tick=0 subject=F0179 event=food_initialized result=class:high,position:73:110,territory:B
tick=0 subject=F0180 event=food_initialized result=class:low,position:101:102,territory:B
tick=0 subject=F0181 event=food_initialized result=class:medium,position:71:118,territory:B
tick=0 subject=F0182 event=food_initialized result=class:high,position:13:92,territory:B
tick=0 subject=F0183 event=food_initialized result=class:low,position:28:97,territory:B
tick=0 subject=F0184 event=food_initialized result=class:medium,position:59:104,territory:B
tick=0 subject=F0185 event=food_initialized result=class:high,position:45:117,territory:B
tick=0 subject=F0186 event=food_initialized result=class:low,position:110:95,territory:B
tick=0 subject=F0187 event=food_initialized result=class:medium,position:75:108,territory:B
tick=0 subject=F0188 event=food_initialized result=class:high,position:38:120,territory:B
tick=0 subject=F0189 event=food_initialized result=class:low,position:31:69,territory:B
tick=0 subject=F0190 event=food_initialized result=class:medium,position:118:78,territory:B
tick=0 subject=F0191 event=food_initialized result=class:high,position:67:97,territory:B
tick=0 subject=F0192 event=food_initialized result=class:low,position:77:88,territory:B
tick=0 subject=F0193 event=food_initialized result=class:medium,position:26:73,territory:B
tick=0 subject=F0194 event=food_initialized result=class:high,position:75:99,territory:B
tick=0 subject=F0195 event=food_initialized result=class:low,position:100:103,territory:B
tick=0 subject=F0196 event=food_initialized result=class:medium,position:86:65,territory:B
tick=0 subject=F0197 event=food_initialized result=class:high,position:39:80,territory:B
