tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0147 event=food_initialized result=class:low,position:81:110,territory:B
tick=0 subject=F0148 event=food_initialized result=class:medium,position:123:75,territory:B
tick=0 subject=F0149 event=food_initialized result=class:high,position:71:85,territory:B
tick=0 subject=F0150 event=food_initialized result=class:low,position:38:109,territory:B
tick=0 subject=F0151 event=food_initialized result=class:medium,position:37:70,territory:B
tick=0 subject=F0152 event=food_initialized result=class:high,position:7:80,territory:B
tick=0 subject=F0153 event=food_initialized result=class:low,position:0:126,territory:B
tick=0 subject=F0154 event=food_initialized result=class:medium,position:26:100,territory:B
tick=0 subject=F0155 event=food_initialized result=class:high,position:91:84,territory:B
tick=0 subject=F0156 event=food_initialized result=class:low,position:124:94,territory:B
tick=0 subject=F0157 event=food_initialized result=class:medium,position:54:99,territory:B
tick=0 subject=F0158 event=food_initialized result=class:high,position:95:119,territory:B
tick=0 subject=F0159 event=food_initialized result=class:low,position:119:88,territory:B
tick=0 subject=F0160 event=food_initialized result=class:medium,position:111:76,territory:B
tick=0 subject=F0161 event=food_initialized result=class:high,position:88:122,territory:B
tick=0 subject=F0162 event=food_initialized result=class:low,position:72:88,territory:B
tick=0 subject=F0163 event=food_initialized result=class:medium,position:10:100,territory:B
tick=0 subject=F0164 event=food_initialized result=class:high,position:98:117,territory:B
tick=0 subject=F0165 event=food_initialized result=class:low,position:68:87,territory:B
tick=0 subject=F0166 event=food_initialized result=class:medium,position:97:70,territory:B
tick=0 subject=F0167 event=food_initialized result=class:high,position:105:64,territory:B
tick=0 subject=F0168 event=food_initialized result=class:low,position:61:95,territory:B
tick=0 subject=F0169 event=food_initialized result=class:medium,position:48:88,territory:B
tick=0 subject=F0170 event=food_initialized result=class:high,position:15:74,territory:B
tick=0 subject=F0171 event=food_initialized result=class:low,position:68:70,territory:B
tick=0 subject=F0172 event=food_initialized result=class:medium,position:62:66,territory:B
tick=0 subject=F0173 event=food_initialized result=class:high,position:79:96,territory:B
tick=0 subject=F0174 event=food_initialized result=class:low,position:121:89,territory:B
tick=0 subject=F0175 event=food_initialized result=class:medium,position:103:75,territory:B
tick=0 subject=F0176 event=food_initialized result=class:high,position:66:88,territory:B
tick=0 subject=F0177 event=food_initialized result=class:low,position:117:113,territory:B
tick=0 subject=F0178 event=food_initialized result=class:medium,position:69:114,territory:B
tick=0 subject=F0179 event=food_initialized result=class:high,position:15:67,territory:B
tick=0 subject=F0180 event=food_initialized result=class:low,position:27:124,territory:B
tick=0 subject=F0181 event=food_initialized result=class:medium,position:124:88,territory:B
tick=0 subject=F0182 event=food_initialized result=class:high,position:91:73,territory:B
tick=0 subject=F0183 event=food_initialized result=class:low,position:75:113,territory:B
tick=0 subject=F0184 event=food_initialized result=class:medium,position:18:85,territory:B
tick=0 subject=F0185 event=food_initialized result=class:high,position:33:97,territory:B
tick=0 subject=F0186 event=food_initialized result=class:low,position:43:100,territory:B
tick=0 subject=F0187 event=food_initialized result=class:medium,position:22:114,territory:B
tick=0 subject=F0188 event=food_initialized result=class:high,position:2:114,territory:B
tick=0 subject=F0189 event=food_initialized result=class:low,position:99:109,territory:B
tick=0 subject=F0190 event=food_initialized result=class:medium,position:1:74,territory:B
tick=0 subject=F0191 event=food_initialized result=class:high,position:34:109,territory:B
tick=0 subject=F0192 event=food_initialized result=class:low,position:43:113,territory:B
tick=0 subject=F0193 event=food_initialized result=class:medium,position:82:124,territory:B
